sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,age_group
oui,bac+2,Provence-Alpes-Côte d’Azur,non,3219,marié,,0.77,690.0,5000.0,9980.438077538149,18-29
oui,bac+2,regions_tertiaires,non,2026,,,0.87,763.0,10000.0,6182.241807638127,18-29
non,doctorat,regions_touristiques_services,non,1282,veuf,,0.21,,,13934.11431858846,30-44
non,doctorat,regions_touristiques_services,oui,2257,divorcé,,0.38,,5000.0,9647.05207576296,30-44
non,bac,regions_touristiques_services,oui,505,,,0.34,,5000.0,500.0,60+
oui,bac+2,regions_tertiaires,non,500,veuf,,0.84,,5000.0,500.0,30-44
non,aucun,regions_touristiques_services,oui,1785,marié,,0.74,,10000.0,500.0,45-59
non,aucun,regions_touristiques_services,non,500,,,0.36,,5000.0,500.0,60+
oui,bac+2,regions_tertiaires,oui,1493,veuf,1.0,0.53,,10000.0,500.0,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,non,3362,,1.0,0.79,,,27973.43076850212,30-44
oui,doctorat,regions_touristiques_services,non,1577,veuf,,0.87,776.0,,15566.586750708451,45-59
non,doctorat,region_parisienne,non,2293,,,0.5,,,27078.054553957616,30-44
oui,master,regions_touristiques_services,non,1577,divorcé,2.0,0.15,,,24900.96882567323,18-29
oui,bac+2,regions_tertiaires,non,3366,célibataire,,0.87,402.0,,30850.856313728706,60+
non,aucun,regions_industrielles,non,2836,veuf,,0.11,451.0,10000.0,500.0,45-59
oui,bac,region_parisienne,non,575,,5.0,0.46,,5000.0,20715.72786040349,60+
oui,aucun,Provence-Alpes-Côte d’Azur,oui,1873,célibataire,,0.3,834.0,,500.0,45-59
non,bac+2,regions_touristiques_services,non,3348,marié,,0.16,691.0,1011.34,500.0,30-44
non,aucun,regions_tertiaires,oui,1541,divorcé,,0.17,436.0,,500.0,45-59
non,master,regions_touristiques_services,non,2168,veuf,,0.41,,10000.0,500.0,18-29
oui,aucun,regions_tertiaires,oui,2384,,,0.73,,1160.79,6193.225131406318,18-29
oui,doctorat,regions_tertiaires,oui,3969,marié,,0.77,,10000.0,11578.482361457878,45-59
non,bac,regions_touristiques_services,oui,2108,,3.0,0.97,323.0,433.51,500.0,30-44
oui,doctorat,regions_touristiques_services,non,2485,veuf,5.0,0.97,485.0,,500.0,18-29
non,master,regions_touristiques_services,non,1285,divorcé,,0.82,,337.59,500.0,30-44
non,aucun,regions_industrielles,oui,518,célibataire,,0.09,,5000.0,500.0,30-44
oui,master,region_parisienne,oui,2554,,1.0,0.22,323.0,5000.0,11301.820807689632,45-59
non,bac+2,region_parisienne,oui,800,veuf,,0.47,,5000.0,500.0,30-44
oui,bac,Provence-Alpes-Côte d’Azur,non,3694,marié,,0.65,,10000.0,6441.699232276767,18-29
oui,bac,regions_touristiques_services,oui,2493,,0.0,0.6,,10000.0,500.0,30-44
oui,bac+2,regions_touristiques_services,non,1598,veuf,,0.83,749.0,1235.59,21482.29879770653,18-29
non,bac+2,regions_touristiques_services,non,841,marié,,0.45,767.0,5000.0,20631.732773372485,18-29
non,bac,region_parisienne,oui,2211,divorcé,1.0,0.11,,10000.0,500.0,60+
non,aucun,regions_touristiques_services,non,5660,marié,,0.01,,567.52,1817.867190887964,60+
non,aucun,Provence-Alpes-Côte d’Azur,oui,1613,divorcé,4.0,0.18,320.0,10000.0,500.0,45-59
non,bac+2,region_parisienne,non,500,divorcé,4.0,0.73,432.0,,500.0,45-59
non,bac,Provence-Alpes-Côte d’Azur,non,2651,marié,,0.75,548.0,10000.0,8180.277514679585,30-44
non,master,Provence-Alpes-Côte d’Azur,non,920,marié,3.0,0.08,331.0,10000.0,500.0,18-29
non,bac,regions_tertiaires,oui,2187,célibataire,1.0,0.91,,10000.0,629.0174592264733,18-29
non,aucun,regions_industrielles,non,2856,marié,4.0,0.8,,5000.0,1958.5691665117863,18-29
non,aucun,regions_industrielles,non,2395,veuf,,0.21,,10000.0,4276.50079142882,45-59
oui,doctorat,regions_touristiques_services,oui,500,,,0.5,,,500.0,45-59
oui,bac,regions_touristiques_services,non,2162,,,0.11,,10000.0,25524.411122209836,45-59
non,bac,regions_industrielles,non,500,,,0.39,572.0,873.78,500.0,60+
oui,bac,region_parisienne,non,500,,1.0,0.28,,777.82,500.0,60+
non,aucun,regions_tertiaires,oui,1985,célibataire,3.0,0.75,740.0,,500.0,18-29
non,doctorat,regions_touristiques_services,non,1165,,1.0,0.09,471.0,10000.0,500.0,45-59
oui,doctorat,regions_industrielles,oui,3788,veuf,,0.99,847.0,10000.0,27187.825055741905,18-29
non,bac,Provence-Alpes-Côte d’Azur,oui,2368,marié,4.0,0.01,667.0,,3095.6058161162705,30-44
non,bac+2,regions_industrielles,non,1106,,5.0,0.67,,,14892.129695892656,30-44
non,master,regions_touristiques_services,non,2841,,,0.05,518.0,10000.0,22022.17102340588,30-44
oui,bac+2,regions_tertiaires,non,2373,marié,,0.61,593.0,,1598.5573296252444,60+
non,bac,Provence-Alpes-Côte d’Azur,oui,2290,célibataire,,0.41,817.0,1211.84,11417.686003789931,60+
oui,bac+2,regions_touristiques_services,oui,1142,divorcé,4.0,0.86,522.0,5000.0,500.0,18-29
oui,bac+2,region_parisienne,non,1293,célibataire,5.0,0.24,300.0,10000.0,17767.617120803876,45-59
non,aucun,regions_industrielles,oui,1627,divorcé,,0.71,649.0,,500.0,30-44
oui,aucun,regions_tertiaires,non,3329,veuf,,0.28,,10000.0,500.0,60+
non,master,region_parisienne,oui,2574,veuf,,0.74,621.0,10000.0,500.0,18-29
oui,master,regions_tertiaires,non,2206,célibataire,1.0,0.13,575.0,,27971.661874715537,60+
oui,bac+2,regions_tertiaires,non,500,,,0.57,,1040.2,22381.74034178567,30-44
oui,bac,regions_tertiaires,oui,1988,marié,,0.36,794.0,5000.0,500.0,60+
non,aucun,regions_tertiaires,oui,1424,marié,1.0,0.18,674.0,,500.0,18-29
oui,bac+2,regions_industrielles,oui,3261,marié,,1.0,,812.92,15009.266566119604,30-44
oui,master,regions_touristiques_services,oui,4380,célibataire,,0.41,,776.91,2567.77199802696,60+
oui,bac+2,regions_touristiques_services,oui,2906,,,0.17,432.0,602.57,500.0,18-29
oui,master,regions_tertiaires,non,2919,célibataire,,0.11,536.0,5000.0,25162.12457911411,45-59
non,aucun,regions_industrielles,oui,2435,marié,3.0,0.67,,,500.0,45-59
non,doctorat,regions_touristiques_services,non,2100,veuf,,0.05,650.0,10000.0,23470.26525443351,30-44
oui,master,Provence-Alpes-Côte d’Azur,oui,2849,marié,3.0,0.09,842.0,10000.0,25262.999727345657,45-59
non,doctorat,regions_industrielles,non,2990,marié,3.0,0.98,323.0,5000.0,8543.009391045001,60+
non,aucun,regions_industrielles,non,1562,veuf,,0.81,,10000.0,500.0,45-59
oui,bac,regions_industrielles,non,2487,divorcé,5.0,0.59,593.0,270.49,4617.462855473694,45-59
non,bac,regions_touristiques_services,oui,865,divorcé,,0.32,691.0,798.92,500.0,45-59
non,doctorat,regions_touristiques_services,oui,2496,,2.0,0.22,601.0,,500.0,30-44
non,aucun,regions_touristiques_services,oui,3414,veuf,,0.36,,879.07,500.0,60+
non,aucun,regions_tertiaires,non,832,célibataire,2.0,0.64,,5000.0,500.0,30-44
oui,aucun,regions_touristiques_services,oui,1369,veuf,1.0,0.23,,,500.0,18-29
oui,bac+2,regions_touristiques_services,non,3339,célibataire,,0.27,,584.67,28568.46307002997,60+
oui,bac,regions_tertiaires,oui,2849,,3.0,0.12,387.0,10000.0,500.0,45-59
oui,doctorat,regions_touristiques_services,oui,2984,,,0.57,336.0,10000.0,500.0,45-59
oui,master,region_parisienne,non,3926,divorcé,,0.55,,1243.95,9279.622260921173,60+
oui,bac+2,Provence-Alpes-Côte d’Azur,non,2839,marié,,0.55,753.0,922.33,500.0,45-59
oui,bac,regions_tertiaires,oui,3096,célibataire,,1.0,,5000.0,500.0,18-29
oui,aucun,regions_tertiaires,non,1543,marié,4.0,0.11,616.0,10000.0,9974.5385387336,30-44
non,aucun,Provence-Alpes-Côte d’Azur,non,1993,divorcé,2.0,0.18,,586.99,500.0,18-29
oui,bac,region_parisienne,oui,3745,célibataire,,0.83,306.0,10000.0,500.0,18-29
non,master,Provence-Alpes-Côte d’Azur,oui,3688,marié,,0.8,386.0,5000.0,500.0,18-29
oui,bac,regions_tertiaires,oui,2507,célibataire,4.0,0.11,793.0,5000.0,13941.527954181993,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2694,,3.0,0.99,,5000.0,14236.835513896362,60+
non,doctorat,regions_tertiaires,non,1963,marié,5.0,0.46,,639.77,13546.94566728572,18-29
non,doctorat,regions_touristiques_services,non,2037,marié,2.0,0.19,,5000.0,19778.35539078744,60+
oui,bac+2,region_parisienne,oui,1053,célibataire,2.0,0.98,418.0,,17654.56282008825,60+
oui,bac+2,region_parisienne,oui,2298,,,0.7,,690.49,11421.443462561296,45-59
oui,bac+2,regions_touristiques_services,oui,2529,,5.0,0.95,543.0,10000.0,500.0,18-29
non,aucun,regions_industrielles,oui,2828,,,0.35,406.0,,500.0,60+
oui,doctorat,regions_touristiques_services,oui,1380,,,0.51,,,21644.832592698243,60+
oui,master,regions_touristiques_services,oui,1998,marié,,0.56,594.0,,500.0,45-59
non,aucun,regions_tertiaires,non,1131,marié,,0.13,,,18435.404174632757,18-29
oui,doctorat,regions_tertiaires,non,1625,divorcé,4.0,0.73,,5000.0,21236.88883013472,30-44
non,aucun,regions_industrielles,non,4146,marié,,0.7,657.0,,500.0,60+
oui,master,regions_tertiaires,oui,3833,veuf,4.0,0.15,,,17664.586088599888,30-44
non,bac,regions_touristiques_services,non,1844,,3.0,0.24,,5000.0,8116.3580936528115,60+
oui,aucun,regions_touristiques_services,oui,5209,divorcé,5.0,0.91,458.0,1104.31,12083.48293955499,60+
non,bac,regions_industrielles,non,811,,5.0,0.43,,10000.0,500.0,60+
non,master,region_parisienne,oui,1274,marié,,0.95,800.0,,16091.874500371972,60+
oui,bac+2,regions_touristiques_services,oui,3712,divorcé,,0.31,,10000.0,10815.09158862328,45-59
non,bac,regions_industrielles,oui,2085,marié,0.0,0.72,842.0,10000.0,750.1675818274242,60+
non,bac+2,regions_industrielles,non,4991,,5.0,0.2,,10000.0,500.0,60+
oui,master,regions_touristiques_services,oui,3565,célibataire,5.0,0.65,,,21054.2584713225,45-59
oui,master,regions_tertiaires,non,2396,divorcé,,0.19,,,27795.93468969328,30-44
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2941,,,0.79,,5000.0,500.0,45-59
oui,aucun,region_parisienne,non,2231,divorcé,,0.12,,,500.0,30-44
non,aucun,regions_tertiaires,non,2898,veuf,5.0,0.16,672.0,474.01,12790.98416367052,45-59
non,doctorat,regions_tertiaires,oui,1740,divorcé,,0.52,,10000.0,3090.4762809527265,45-59
non,master,regions_industrielles,non,3777,célibataire,,0.23,515.0,10000.0,29174.700527737616,60+
oui,aucun,regions_touristiques_services,oui,2846,célibataire,,0.78,762.0,,500.0,60+
oui,aucun,regions_industrielles,oui,1898,divorcé,4.0,0.3,521.0,,500.0,30-44
non,master,regions_tertiaires,oui,2437,,2.0,0.66,531.0,,10942.245205344045,60+
oui,aucun,regions_touristiques_services,oui,4186,marié,0.0,0.35,459.0,10000.0,500.0,60+
oui,doctorat,Provence-Alpes-Côte d’Azur,non,544,célibataire,,0.17,806.0,,22239.179681936534,18-29
oui,master,Provence-Alpes-Côte d’Azur,oui,897,,,0.89,,10000.0,16726.831019614572,45-59
non,bac,Provence-Alpes-Côte d’Azur,non,4621,veuf,3.0,0.75,,10000.0,5733.19825457975,18-29
non,aucun,regions_touristiques_services,non,663,célibataire,4.0,0.46,,5000.0,500.0,60+
non,doctorat,regions_touristiques_services,oui,3792,marié,4.0,0.81,830.0,819.34,18379.00811212305,30-44
non,master,regions_industrielles,oui,2226,veuf,,0.22,,5000.0,10040.154450939635,30-44
oui,bac,regions_tertiaires,oui,4524,divorcé,,0.62,689.0,5000.0,500.0,45-59
non,bac+2,regions_touristiques_services,oui,4871,,,0.89,,1151.41,6243.156103406034,60+
oui,doctorat,regions_tertiaires,oui,1914,marié,,0.82,,5000.0,13327.738472695168,60+
non,doctorat,regions_tertiaires,oui,2638,,1.0,0.77,,5000.0,23261.21905705174,45-59
non,master,region_parisienne,oui,2325,veuf,,0.57,583.0,10000.0,8479.067679026146,60+
non,doctorat,regions_industrielles,oui,3610,,,0.08,,,500.0,30-44
non,master,regions_industrielles,oui,3185,,,0.23,,10000.0,8335.243488615195,45-59
oui,doctorat,regions_touristiques_services,oui,3430,veuf,,0.01,,1155.06,11621.885561278505,18-29
oui,bac,regions_tertiaires,non,2525,,,0.69,,525.45,500.0,45-59
oui,master,regions_tertiaires,non,3249,veuf,5.0,0.37,347.0,,33199.35478748699,60+
non,aucun,regions_touristiques_services,oui,860,,1.0,0.21,442.0,5000.0,500.0,45-59
oui,master,regions_touristiques_services,non,1994,célibataire,,0.83,401.0,420.6,500.0,30-44
oui,aucun,Provence-Alpes-Côte d’Azur,oui,2311,célibataire,,0.16,723.0,,7795.509684423933,45-59
non,master,Provence-Alpes-Côte d’Azur,non,2264,célibataire,0.0,0.28,601.0,,24271.219189403848,60+
non,bac+2,regions_industrielles,non,4313,divorcé,,0.34,,5000.0,21451.05492936465,60+
non,aucun,regions_touristiques_services,oui,2534,célibataire,,0.51,447.0,,500.0,18-29
non,aucun,regions_touristiques_services,non,2810,,,0.64,,10000.0,500.0,45-59
oui,aucun,regions_touristiques_services,oui,2133,marié,,0.56,,1097.34,500.0,30-44
oui,aucun,regions_touristiques_services,non,689,célibataire,0.0,0.59,,10000.0,500.0,60+
oui,master,region_parisienne,non,513,veuf,2.0,0.23,,10000.0,38745.50180230162,30-44
oui,doctorat,region_parisienne,oui,3637,,,0.7,,,38222.79026525704,60+
oui,master,regions_tertiaires,non,4345,,1.0,0.51,709.0,680.27,19357.322553038,45-59
oui,doctorat,regions_touristiques_services,non,4022,,,0.17,331.0,934.09,33552.64605500877,30-44
oui,bac,regions_tertiaires,non,1841,marié,0.0,0.38,,5000.0,500.0,60+
oui,aucun,regions_touristiques_services,oui,2142,,4.0,0.18,387.0,,500.0,45-59
non,aucun,regions_touristiques_services,oui,1111,marié,4.0,0.95,400.0,10000.0,500.0,45-59
oui,aucun,regions_industrielles,non,1801,célibataire,,0.44,762.0,714.94,500.0,18-29
non,doctorat,regions_tertiaires,non,4471,,,0.43,,5000.0,16199.551633671726,30-44
non,master,regions_touristiques_services,oui,1760,marié,3.0,0.93,,868.51,500.0,30-44
oui,bac,regions_tertiaires,oui,2060,divorcé,,0.37,,10000.0,3098.309380969443,60+
oui,bac,regions_tertiaires,oui,3212,veuf,0.0,0.86,807.0,10000.0,500.0,18-29
non,bac,Provence-Alpes-Côte d’Azur,non,3136,,2.0,0.62,,5000.0,23950.74207967979,60+
non,bac+2,regions_tertiaires,non,3093,,,0.6,,10000.0,500.0,45-59
non,bac+2,regions_touristiques_services,oui,5023,,,0.93,,1676.97,14900.431901911126,60+
non,bac,regions_touristiques_services,non,1343,veuf,,0.25,706.0,870.92,500.0,60+
non,aucun,region_parisienne,non,3049,,5.0,0.99,655.0,10000.0,500.0,60+
oui,doctorat,regions_tertiaires,non,3277,,,0.85,413.0,10000.0,500.0,45-59
non,master,regions_touristiques_services,non,2429,marié,,0.25,474.0,,2445.012805046136,30-44
oui,master,regions_tertiaires,oui,3980,veuf,,0.11,,,5577.44856930656,60+
non,doctorat,regions_touristiques_services,non,1708,,5.0,0.2,,,9625.845574796664,18-29
non,doctorat,regions_industrielles,non,2234,divorcé,1.0,0.65,341.0,5000.0,10561.932639484903,18-29
non,doctorat,regions_industrielles,non,1825,célibataire,2.0,0.39,,10000.0,500.0,45-59
oui,aucun,regions_industrielles,oui,2293,veuf,,0.07,316.0,,500.0,45-59
oui,master,Provence-Alpes-Côte d’Azur,oui,3285,divorcé,1.0,0.15,525.0,10000.0,500.0,30-44
oui,doctorat,regions_tertiaires,non,2465,veuf,,0.69,832.0,5000.0,36102.58761325516,18-29
non,bac+2,regions_touristiques_services,non,4684,marié,,0.01,,10000.0,500.0,30-44
non,bac,regions_industrielles,oui,2370,veuf,0.0,0.92,725.0,5000.0,500.0,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,1719,divorcé,,0.2,,5000.0,500.0,30-44
oui,doctorat,regions_touristiques_services,non,2425,marié,,0.51,,10000.0,500.0,60+
oui,aucun,regions_tertiaires,non,1684,,,0.97,,1002.84,10842.751846690668,18-29
oui,bac+2,regions_touristiques_services,oui,1911,,,0.24,,,5572.278397167314,18-29
non,master,region_parisienne,oui,2748,,,0.59,,5000.0,7728.598329102197,30-44
oui,bac,region_parisienne,oui,3421,veuf,,0.63,498.0,,15212.024253129037,30-44
oui,bac,region_parisienne,non,1512,veuf,4.0,0.81,324.0,920.29,15637.931483116514,30-44
non,bac+2,regions_touristiques_services,non,3577,veuf,1.0,0.26,611.0,,500.0,30-44
oui,aucun,regions_touristiques_services,non,2123,,,0.95,,10000.0,11338.94080242258,45-59
non,bac+2,regions_industrielles,oui,2511,veuf,4.0,0.24,335.0,1220.28,500.0,30-44
oui,bac+2,regions_touristiques_services,non,4178,marié,5.0,0.06,,5000.0,38786.02258457793,45-59
non,aucun,regions_touristiques_services,non,500,,,0.91,490.0,293.04,500.0,18-29
oui,doctorat,regions_industrielles,non,3750,veuf,,1.0,,,39785.56579751289,30-44
oui,bac,Provence-Alpes-Côte d’Azur,oui,2602,célibataire,,0.14,,,500.0,45-59
oui,master,regions_touristiques_services,non,4123,divorcé,,0.79,306.0,479.97,5495.968669607365,30-44
non,master,regions_touristiques_services,non,3860,célibataire,,0.19,704.0,,500.0,60+
non,master,regions_touristiques_services,non,3615,veuf,4.0,0.35,,5000.0,500.0,18-29
non,bac+2,regions_touristiques_services,non,3699,divorcé,2.0,0.59,,,500.0,18-29
oui,bac+2,region_parisienne,oui,2690,divorcé,,1.0,507.0,10000.0,9525.421301036306,45-59
oui,bac+2,regions_tertiaires,oui,1242,divorcé,,0.13,,717.85,4745.13568428232,45-59
oui,bac+2,regions_touristiques_services,oui,2204,veuf,,0.98,398.0,,500.0,30-44
non,bac,regions_touristiques_services,oui,2309,veuf,3.0,0.36,,10000.0,6824.706236121776,60+
non,master,regions_industrielles,non,3407,célibataire,,0.56,,10000.0,500.0,60+
non,aucun,regions_tertiaires,non,1217,célibataire,1.0,0.64,553.0,5000.0,500.0,45-59
non,doctorat,regions_touristiques_services,oui,2021,célibataire,,0.81,,5000.0,500.0,30-44
non,doctorat,regions_tertiaires,oui,4552,divorcé,2.0,0.84,790.0,10000.0,500.0,30-44
oui,bac+2,region_parisienne,non,813,,,0.99,686.0,687.0,25570.47119564551,45-59
non,aucun,regions_industrielles,non,4111,marié,,0.64,556.0,10000.0,500.0,60+
oui,bac,regions_touristiques_services,non,1216,veuf,,0.45,,10000.0,500.0,60+
oui,master,regions_touristiques_services,non,1827,,,0.78,,1154.7,4638.975587629052,45-59
oui,bac+2,regions_tertiaires,non,3352,veuf,5.0,0.12,527.0,,27056.669054141723,18-29
oui,master,Provence-Alpes-Côte d’Azur,oui,2096,marié,1.0,0.95,306.0,942.03,11631.378311895272,30-44
oui,bac,regions_tertiaires,non,3473,,3.0,0.32,741.0,10000.0,20941.35533451329,30-44
oui,doctorat,regions_tertiaires,oui,4254,célibataire,4.0,0.49,352.0,10000.0,24459.4745517227,60+
non,doctorat,regions_industrielles,non,5268,marié,,0.0,,,28187.94843743599,18-29
oui,master,regions_tertiaires,non,3168,,5.0,0.96,331.0,5000.0,20369.88983084691,30-44
non,bac,regions_touristiques_services,non,2685,marié,,0.44,718.0,,16476.89500268288,45-59
oui,bac,regions_tertiaires,non,3165,divorcé,0.0,0.45,,10000.0,20304.149653791694,60+
oui,aucun,regions_touristiques_services,non,1952,célibataire,,0.13,,5000.0,9149.713737992504,18-29
non,master,regions_touristiques_services,non,2097,divorcé,1.0,0.43,,10000.0,9063.992193063728,30-44
oui,aucun,regions_touristiques_services,non,2518,,,0.9,,5000.0,10297.861578973992,45-59
non,bac+2,region_parisienne,oui,3112,divorcé,,1.0,,457.4,500.0,18-29
oui,bac,regions_industrielles,oui,3268,,,0.37,,1070.89,500.0,30-44
non,master,regions_touristiques_services,non,1675,marié,,0.03,,5000.0,2415.4318353413337,60+
oui,master,regions_tertiaires,oui,3828,divorcé,5.0,0.51,376.0,,4929.495735749877,45-59
non,doctorat,regions_touristiques_services,non,3003,célibataire,4.0,0.87,,10000.0,500.0,45-59
oui,aucun,regions_industrielles,non,3005,veuf,0.0,0.63,451.0,10000.0,11994.155565786166,30-44
oui,bac+2,regions_tertiaires,oui,743,,,0.06,757.0,457.08,13420.837009444647,60+
non,bac+2,regions_touristiques_services,non,1589,,,0.87,402.0,5000.0,500.0,18-29
non,master,regions_touristiques_services,non,4420,marié,,0.2,,5000.0,28880.364881321628,18-29
non,aucun,regions_touristiques_services,non,3089,marié,,0.38,,10000.0,500.0,30-44
non,aucun,regions_tertiaires,oui,2932,divorcé,,0.96,,,500.0,30-44
oui,bac+2,regions_touristiques_services,oui,2012,marié,4.0,0.55,707.0,10000.0,3353.4330106364587,60+
non,bac,regions_touristiques_services,non,5080,marié,5.0,0.01,782.0,,13703.88297040526,18-29
non,master,regions_tertiaires,non,2146,veuf,1.0,0.74,568.0,961.08,500.0,30-44
oui,bac,regions_touristiques_services,non,3817,marié,,0.01,489.0,,18514.6712685514,30-44
oui,doctorat,region_parisienne,non,1230,divorcé,4.0,0.17,,5000.0,24435.34008926936,60+
non,bac+2,Provence-Alpes-Côte d’Azur,oui,3721,célibataire,,0.02,,624.45,500.0,30-44
non,aucun,regions_tertiaires,oui,5518,,0.0,0.98,,5000.0,500.0,18-29
non,bac+2,regions_touristiques_services,oui,2838,célibataire,4.0,0.22,,1169.92,500.0,60+
oui,bac+2,region_parisienne,non,611,,,0.36,389.0,,24044.07796101801,45-59
oui,doctorat,regions_touristiques_services,oui,2294,veuf,,0.44,604.0,319.02,8691.443157660575,30-44
oui,bac+2,regions_tertiaires,non,2722,divorcé,,0.45,542.0,585.12,500.0,30-44
oui,doctorat,regions_tertiaires,oui,3444,célibataire,1.0,0.46,,,500.0,18-29
non,bac,region_parisienne,non,3006,divorcé,,0.9,,10000.0,15057.705965667948,45-59
non,bac+2,regions_tertiaires,non,3466,célibataire,,0.96,,,21061.9901881809,30-44
oui,aucun,regions_touristiques_services,oui,2542,veuf,,0.99,,,599.2826027812608,18-29
non,bac,regions_touristiques_services,non,4109,divorcé,,0.67,,648.15,500.0,60+
non,aucun,regions_tertiaires,non,3578,veuf,2.0,0.75,,5000.0,6622.300339722123,60+
oui,aucun,region_parisienne,oui,864,veuf,5.0,0.76,828.0,270.52,500.0,45-59
oui,doctorat,region_parisienne,non,2661,veuf,0.0,0.47,659.0,10000.0,11383.645355092256,45-59
oui,doctorat,regions_industrielles,oui,4354,,,0.61,406.0,5000.0,22511.217794679647,18-29
non,master,regions_tertiaires,oui,2998,célibataire,,0.67,837.0,414.98,20741.37874908,18-29
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,534,célibataire,4.0,0.87,574.0,5000.0,19635.997764467586,30-44
oui,master,region_parisienne,oui,500,marié,3.0,0.71,,,19517.82898274985,30-44
non,doctorat,regions_touristiques_services,oui,1992,veuf,,0.29,473.0,10000.0,12835.57639516452,18-29
non,doctorat,regions_industrielles,non,2612,veuf,4.0,0.64,556.0,862.2,500.0,60+
non,master,regions_touristiques_services,oui,1741,divorcé,0.0,0.34,,583.77,500.0,60+
non,master,Provence-Alpes-Côte d’Azur,non,1464,,,0.79,678.0,262.1,21641.76434350072,45-59
non,master,regions_touristiques_services,non,4000,célibataire,,0.18,830.0,5000.0,30733.79516709794,18-29
oui,bac,regions_tertiaires,non,1751,célibataire,2.0,0.44,,5000.0,500.0,18-29
non,doctorat,regions_tertiaires,oui,2561,célibataire,3.0,0.99,335.0,10000.0,19516.817267980667,18-29
oui,bac+2,regions_touristiques_services,non,555,célibataire,5.0,0.4,736.0,,18978.120835594247,60+
oui,bac,regions_tertiaires,oui,4479,célibataire,,0.67,457.0,10000.0,500.0,30-44
non,aucun,regions_tertiaires,non,4065,marié,2.0,0.97,369.0,10000.0,4496.717317037311,18-29
oui,master,Provence-Alpes-Côte d’Azur,non,621,célibataire,3.0,0.24,845.0,858.44,2504.610141047304,45-59
oui,aucun,regions_industrielles,oui,4489,célibataire,,0.2,,10000.0,505.5993852115245,45-59
non,aucun,regions_industrielles,oui,1815,veuf,,0.96,509.0,10000.0,500.0,30-44
oui,master,regions_touristiques_services,oui,1429,,,0.33,519.0,,7658.449239506435,18-29
oui,bac,regions_touristiques_services,oui,1751,veuf,,0.59,,402.6,550.3920627687447,18-29
non,master,regions_touristiques_services,oui,1072,célibataire,,0.1,,,500.0,45-59
non,master,regions_touristiques_services,non,1379,,5.0,0.21,422.0,10000.0,500.0,45-59
non,bac,regions_tertiaires,non,3322,divorcé,,0.8,,,500.0,30-44
non,bac+2,regions_tertiaires,oui,1588,veuf,,0.33,,,5341.028968337724,45-59
non,bac,regions_tertiaires,oui,3164,divorcé,0.0,0.05,,5000.0,500.0,45-59
oui,aucun,regions_industrielles,oui,1787,,,0.2,688.0,857.8,500.0,60+
non,master,Provence-Alpes-Côte d’Azur,oui,3853,veuf,,0.42,,10000.0,500.0,45-59
non,master,regions_touristiques_services,non,2088,,,0.32,,10000.0,16003.19484055718,30-44
oui,bac+2,regions_tertiaires,non,647,marié,3.0,0.11,699.0,5000.0,13005.741673146224,60+
oui,aucun,regions_touristiques_services,non,4309,divorcé,,0.18,805.0,,8504.257979295746,60+
oui,bac+2,Provence-Alpes-Côte d’Azur,non,1656,célibataire,,0.56,,1143.27,500.0,30-44
oui,aucun,regions_touristiques_services,non,4060,veuf,,0.69,769.0,783.31,21026.94915554756,60+
non,doctorat,regions_touristiques_services,oui,2890,marié,,0.69,,559.04,13076.406874422384,60+
non,aucun,regions_touristiques_services,non,2230,divorcé,2.0,0.55,320.0,,500.0,18-29
oui,bac+2,region_parisienne,oui,646,célibataire,,0.14,,1032.1,7129.175527268493,60+
non,aucun,regions_touristiques_services,oui,743,divorcé,,0.45,,490.82,500.0,18-29
oui,bac+2,regions_touristiques_services,non,2633,,,0.07,,,500.0,60+
oui,doctorat,regions_industrielles,non,3120,veuf,1.0,0.76,544.0,,28648.772767630267,45-59
oui,bac+2,regions_touristiques_services,oui,4324,divorcé,2.0,0.93,,,500.0,45-59
non,bac,Provence-Alpes-Côte d’Azur,non,500,célibataire,3.0,0.81,337.0,5000.0,500.0,45-59
oui,bac+2,Provence-Alpes-Côte d’Azur,non,3724,célibataire,,0.89,465.0,806.42,3153.2237902978586,60+
oui,bac+2,regions_industrielles,non,2840,veuf,,0.71,,,12743.034821945816,60+
non,bac,region_parisienne,oui,789,,,0.37,501.0,,500.0,60+
non,bac+2,region_parisienne,oui,620,célibataire,,0.88,823.0,10000.0,500.0,60+
non,aucun,regions_tertiaires,oui,2349,veuf,,0.8,,10000.0,500.0,30-44
oui,aucun,regions_tertiaires,oui,4963,divorcé,4.0,0.46,,331.03,13331.74594014329,60+
oui,doctorat,regions_touristiques_services,oui,1338,,,0.23,,,13235.87926350807,60+
oui,master,regions_industrielles,oui,3007,,,0.03,,10000.0,23211.60862584896,60+
non,bac+2,regions_touristiques_services,oui,1878,divorcé,,0.69,367.0,869.89,500.0,30-44
non,bac+2,regions_industrielles,oui,2117,,1.0,0.85,,,500.0,30-44
non,master,region_parisienne,non,3303,célibataire,,0.09,468.0,10000.0,29119.90473661206,18-29
